order_id,customer_id,product_id,quantity,order_date,status
O001,C001,P001,2,2025-07-01,Delivered
O002,C002,P005,1,2025-07-02,Delivered
O003,C003,P002,1,2025-07-03,Shipped
O004,C001,P003,3,2025-07-04,Delivered
O005,C004,P009,1,2025-07-05,Processing
O006,C005,P006,2,2025-07-06,Delivered
O007,C006,P008,1,2025-07-07,Cancelled
O008,C007,P004,1,2025-07-08,Shipped
O009,C008,P010,2,2025-07-09,Delivered
O010,C009,P007,4,2025-07-10,Delivered
O011,C002,P001,1,2025-07-11,Delivered
O012,C010,P005,1,2025-07-12,Processing
O013,C003,P008,2,2025-07-13,Delivered
O014,C005,P002,1,2025-07-14,Shipped
O015,C001,P007,2,2025-07-15,Delivered
