order_id,customer_id,product_id,quantity,order_date,status,price,revenue
O001,C001,P001,2,2025-07-01,Delivered,799,1598.0
O002,C002,P005,1,2025-07-02,Delivered,2999,2999.0
O003,C003,P002,1,2025-07-03,Shipped,2499,0.0
O004,C001,P003,3,2025-07-04,Delivered,499,1497.0
O005,C004,P009,1,2025-07-05,Processing,8999,0.0
O006,C005,P006,2,2025-07-06,Delivered,1799,3598.0
O007,C006,P008,1,2025-07-07,Cancelled,1999,0.0
O008,C007,P004,1,2025-07-08,Shipped,1299,0.0
O009,C008,P010,2,2025-07-09,Delivered,1499,2998.0
O010,C009,P007,4,2025-07-10,Delivered,699,2796.0
O011,C002,P001,1,2025-07-11,Delivered,799,799.0
O012,C010,P005,1,2025-07-12,Processing,2999,0.0
O013,C003,P008,2,2025-07-13,Delivered,1999,3998.0
O014,C005,P002,1,2025-07-14,Shipped,2499,0.0
O015,C001,P007,2,2025-07-15,Delivered,699,1398.0
